Word	Bouba-Kiki Rank
the	83
of	75
and	83
to	75
a	50
in	75
for	83
is	75
on	75
that	88
by	100
this	88
with	88
i	50
you	67
it	75
not	83
or	75
be	75
are	67
from	88
at	75
as	75
your	75
all	83
have	75
new	83
more	75
an	75
was	83
we	75
will	88
home	75
can	83
us	75
about	70
if	75
page	75
my	100
has	83
search	83
free	75
but	83
our	67
one	67
other	80
do	75
no	75
information	77
time	75
they	88
site	75
he	75
up	75
may	83
what	88
which	90
their	80
news	88
out	67
use	67
any	83
there	80
see	67
only	88
so	75
his	83
when	88
contact	86
here	75
business	81
who	83
web	83
also	75
now	83
help	88
get	83
pm	100
view	75
online	75
c	100
e	50
first	90
am	75
been	75
would	80
how	83
were	75
me	75
s	100
services	81
some	75
these	80
click	90
its	83
like	75
service	79
x	100
than	88
find	88
price	80
date	75
back	88
top	83
people	75
had	83
list	88
name	75
just	88
over	75
state	80
year	75
day	83
into	75
email	70
two	83
health	83
n	100
world	90
re	75
next	88
used	75
go	75
b	100
work	88
last	88
most	88
products	88
music	80
buy	83
data	75
make	75
them	88
should	83
product	86
system	92
post	88
her	83
city	88
t	100
add	83
policy	83
number	83
such	88
please	75
available	72
copyright	89
support	86
message	79
after	80
best	88
software	81
then	88
jan	83
good	75
video	70
well	88
d	100
where	80
info	75
rights	92
public	83
books	80
high	88
school	83
through	86
m	100
each	75
links	90
she	83
review	75
years	80
order	80
very	88
privacy	86
book	75
items	80
company	86
r	100
read	75
group	80
need	75
many	88
user	75
said	75
de	75
does	75
set	83
under	80
general	79
research	81
university	80
january	79
mail	75
full	88
map	83
reviews	79
program	86
life	75
know	88
games	80
way	83
days	88
management	80
p	100
part	88
could	80
great	80
united	75
hotel	80
real	75
f	100
item	75
international	77
center	83
ebay	75
must	88
store	80
travel	83
comments	88
made	75
development	82
report	83
off	83
member	83
details	79
line	75
terms	90
before	75
hotels	83
did	83
send	88
right	90
type	88
because	71
local	80
those	80
using	80
results	86
office	75
education	72
national	75
car	83
design	83
take	75
posted	83
internet	81
address	86
community	83
within	83
states	83
area	62
want	88
phone	80
dvd	100
shipping	88
reserved	81
subject	86
between	79
forum	80
family	83
l	100
long	88
based	80
w	100
code	75
show	88
o	50
even	75
black	90
check	90
special	79
prices	83
website	79
index	80
being	80
women	80
much	88
sign	88
file	75
link	88
open	75
today	80
technology	85
south	80
case	75
project	86
same	75
pages	80
uk	75
version	79
section	79
own	83
found	80
sports	92
house	70
related	79
security	81
both	88
g	100
county	83
american	75
photo	80
game	75
members	86
power	80
while	80
care	75
network	86
down	88
computer	81
systems	93
three	80
total	80
place	80
end	83
following	83
download	81
h	100
him	83
without	79
per	83
access	83
think	90
north	90
resources	78
current	86
posts	90
big	83
media	70
law	83
control	86
water	80
history	86
pictures	81
size	75
art	83
personal	81
since	80
including	83
guide	70
shop	88
directory	83
board	80
location	75
change	83
white	80
text	88
small	90
rating	83
rate	75
government	85
children	88
during	83
usa	67
return	83
students	88
v	100
shopping	88
account	79
times	80
sites	80
level	80
digital	79
profile	79
previous	75
form	88
events	83
love	75
old	83
john	88
main	75
call	88
hours	80
image	70
department	85
title	80
description	82
non	83
k	100
y	100
insurance	78
another	79
why	100
shall	90
property	88
class	90
cd	100
still	90
money	80
quality	79
every	80
listing	86
content	86
country	86
private	79
little	83
visit	80
save	75
tools	80
low	83
reply	90
customer	81
december	81
compare	79
movies	75
include	79
college	79
value	70
article	79
york	88
man	83
card	88
jobs	88
provide	79
j	100
food	75
source	75
author	75
different	83
press	90
u	50
learn	80
sale	75
around	75
print	90
course	75
job	83
canada	75
process	86
teen	75
room	75
stock	90
training	81
too	67
credit	83
point	80
join	75
science	79
men	83
categories	75
advanced	81
west	88
sales	80
look	75
english	86
left	88
team	75
estate	75
box	83
conditions	80
select	83
windows	86
photos	83
gay	83
thread	83
week	75
category	81
note	75
live	75
large	80
gallery	86
table	80
register	81
however	79
june	75
october	79
november	81
market	83
library	86
really	83
action	75
start	90
series	75
model	80
features	75
air	67
industry	88
plan	88
human	80
provided	81
tv	100
yes	83
required	75
second	83
