Word,Bouba-Kiki Rank
a,50
aa,50
aaa,50
aaron,70
ab,75
abandoned,78
abc,83
aberdeen,75
abilities,72
ability,79
able,75
aboriginal,75
abortion,75
about,70
above,70
abraham,79
abroad,75
abs,83
absence,79
absent,83
absolute,75
absolutely,80
absorption,80
abstract,88
abstracts,89
abu,67
abuse,70
ac,75
academic,75
academics,78
academy,79
acc,83
accent,83
accept,83
acceptable,80
acceptance,80
accepted,81
accepting,83
accepts,86
access,83
accessed,81
accessibility,81
accessible,80
accessing,83
accessories,77
accessory,83
accident,81
accidents,83
accommodate,77
accommodation,77
accommodations,79
accompanied,77
accompanying,83
accomplish,85
accomplished,83
accordance,80
according,83
accordingly,86
account,79
accountability,79
accounting,80
accounts,81
accreditation,77
accredited,80
accuracy,81
accurate,75
accurately,80
accused,79
acdbentity,85
ace,67
acer,75
achieve,71
achieved,75
achievement,77
achievements,79
achieving,78
acid,75
acids,80
acknowledge,82
acknowledged,83
acm,83
acne,75
acoustic,75
acquire,71
acquired,75
acquisition,73
acquisitions,75
acre,75
acres,80
acrobat,79
across,83
acrylic,86
act,83
acting,83
action,75
actions,79
activated,78
activation,75
active,75
actively,81
activists,83
activities,75
activity,81
actor,80
actors,83
actress,86
acts,88
actual,75
actually,81
acute,70
ad,75
ada,67
adam,75
adams,80
adaptation,75
adapted,79
adapter,79
adapters,81
adaptive,75
adaptor,79
add,83
added,80
addiction,78
adding,83
addition,75
additional,75
additionally,79
additions,78
address,86
addressed,83
addresses,83
addressing,85
adds,88
adelaide,69
adequate,69
adidas,75
adipex,75
adjacent,81
adjust,83
adjustable,80
adjusted,81
adjustment,85
adjustments,86
admin,80
administered,79
administration,79
administrative,79
administrator,81
administrators,82
admission,78
admissions,80
admit,80
admitted,81
adobe,70
adolescent,80
adopt,80
adopted,79
adoption,75
adrian,75
ads,83
adsl,88
adult,80
adults,83
advance,79
advanced,81
advancement,82
advances,81
advantage,78
advantages,80
adventure,78
adventures,80
adverse,79
advert,83
advertise,78
advertisement,81
advertisements,82
advertiser,80
advertisers,82
advertising,82
advice,75
advise,75
advised,79
advisor,79
advisors,81
advisory,81
advocacy,81
advocate,75
adware,75
ae,50
aerial,67
aerospace,72
af,75
affair,75
affairs,79
affect,83
affected,81
affecting,83
affects,86
affiliate,72
affiliated,75
affiliates,75
affiliation,73
afford,83
affordable,80
afghanistan,82
afraid,75
africa,75
african,79
after,80
afternoon,78
afterwards,85
ag,75
again,70
against,79
age,67
aged,75
agencies,75
agency,83
agenda,75
agent,80
agents,83
ages,75
aggregate,78
aggressive,80
aging,80
ago,67
agree,70
agreed,75
agreement,78
agreements,80
agrees,75
agricultural,79
agriculture,77
ah,75
ahead,70
ai,50
aid,67
aids,75
aim,67
aimed,70
aims,75
air,67
aircraft,81
airfare,71
airline,71
airlines,75
airplane,75
airport,79
airports,81
aj,75
ak,75
aka,67
al,75
ala,67
alabama,71
alan,75
alarm,80
alaska,75
albania,71
albany,83
albert,83
alberta,79
album,80
albums,83
albuquerque,73
alcohol,79
alert,80
alerts,83
alex,75
alexander,78
alexandria,75
alfred,83
algebra,79
algeria,71
algorithm,83
algorithms,85
ali,67
alias,70
alice,70
alien,70
align,80
alignment,83
alike,70
alive,70
all,83
allah,80
allan,80
alleged,79
allen,80
allergy,86
alliance,75
allied,75
allocated,78
allocation,75
allow,80
allowance,78
allowed,79
allowing,81
allows,83
alloy,80
almost,83
alone,70
along,80
alot,75
alpha,80
alphabetical,79
alpine,75
already,79
also,75
alt,83
alter,80
altered,79
alternate,78
alternative,77
alternatively,81
alternatives,79
although,81
alto,75
aluminium,72
aluminum,75
alumni,75
always,83
am,75
amanda,75
amateur,71
amazing,79
amazon,75
ambassador,80
amber,80
ambien,75
ambient,79
amd,83
amend,80
amended,79
amendment,83
amendments,85
amenities,72
america,71
american,75
americans,78
americas,75
amino,70
among,80
amongst,86
amount,75
amounts,79
amp,83
ampland,86
amplifier,78
amsterdam,83
amy,83
an,75
ana,67
anaheim,71
analog,75
analyses,81
analysis,81
analyst,86
analysts,88
analytical,80
analyze,79
analyzed,81
anatomy,79
anchor,83
ancient,79
and,83
andale,75
anderson,81
andorra,79
andrea,75
andreas,79
andrew,83
andrews,86
andy,88
angel,80
angela,75
angeles,79
angels,83
anger,80
angle,80
angola,75
angry,90
animal,75
animals,79
animated,75
animation,72
anime,70
ann,83
anna,75
anne,75
annex,80
annie,70
anniversary,82
annotated,78
annotation,75
announce,75
announced,78
announcement,79
announcements,81
announces,78
annoying,81
annual,75
annually,81
anonymous,78
another,79
answer,83
answered,81
answering,83
answers,86
ant,83
antarctica,80
antenna,79
anthony,86
anthropology,83
anti,75
antibodies,75
antibody,81
anticipated,77
antigua,71
antique,71
antiques,75
antivirus,78
antonio,71
anxiety,79
any,83
anybody,86
anymore,79
anyone,75
anything,88
anytime,79
anyway,83
anywhere,81
aol,67
ap,75
apache,75
apart,80
apartment,83
apartments,85
api,67
apnic,80
apollo,75
app,83
apparatus,78
apparel,79
apparent,81
apparently,85
appeal,75
appeals,79
appear,75
appearance,75
appeared,75
appearing,78
appears,79
appendix,81
apple,80
appliance,78
appliances,80
applicable,80
applicant,83
applicants,85
application,77
applications,79
applied,79
applies,79
apply,90
applying,88
appointed,78
appointment,82
appointments,83
appraisal,78
appreciate,75
appreciated,77
appreciation,75
approach,81
approaches,80
appropriate,77
appropriations,79
approval,81
approve,79
approved,81
approx,83
approximate,77
approximately,81
apps,88
apr,83
april,80
apt,83
aqua,62
aquarium,69
aquatic,71
ar,75
arab,75
arabia,67
arabic,75
arbitrary,83
arbitration,77
arbor,80
arc,83
arcade,75
arch,88
architect,83
architects,85
architectural,81
architecture,79
archive,79
archived,81
archives,81
arctic,83
are,67
area,62
areas,70
arena,70
arg,83
argentina,78
argue,70
argued,75
argument,81
arguments,83
arise,70
arising,79
arizona,71
arkansas,81
arlington,83
arm,83
armed,80
armenia,71
armor,80
arms,88
armstrong,89
army,88
arnold,83
around,75
arrange,79
arranged,81
arrangement,82
arrangements,83
array,80
arrest,83
arrested,81
arrival,79
arrivals,81
arrive,75
arrived,79
arrives,79
arrow,80
art,83
arthritis,83
arthur,83
article,79
articles,81
artificial,75
artist,83
artistic,81
artists,86
arts,88
artwork,86
aruba,70
as,75
asbestos,81
ascii,70
ash,83
ashley,83
asia,62
asian,70
aside,70
asin,75
ask,83
asked,80
asking,83
asks,88
asn,83
asp,83
aspect,83
aspects,86
assault,79
assembled,83
assembly,88
assess,83
assessed,81
assessing,83
assessment,85
assessments,86
asset,80
assets,83
assign,83
assigned,81
assignment,85
assignments,86
assist,83
assistance,80
assistant,83
assisted,81
assists,86
associate,72
associated,75
associates,75
association,73
associations,75
assume,75
assumed,79
assumes,79
assuming,81
assumption,80
assumptions,82
assurance,78
assure,75
assured,79
asthma,83
astrology,83
astronomy,83
asus,75
asylum,83
at,75
ata,67
ate,67
athens,83
athletes,81
athletic,81
athletics,83
ati,67
atlanta,79
atlantic,81
atlas,80
atm,83
atmosphere,80
atmospheric,82
atom,75
atomic,75
attach,83
attached,81
attachment,85
attachments,86
attack,83
attacked,81
attacks,86
attempt,86
attempted,83
attempting,85
attempts,88
attend,83
attendance,80
attended,81
attending,83
attention,78
attitude,75
attitudes,78
attorney,81
attorneys,83
attract,86
attraction,80
attractions,82
attractive,80
attribute,78
attributes,80
au,50
auburn,75
auckland,81
auction,71
auctions,75
aud,67
audi,62
audience,69
audio,60
audit,70
auditor,71
aug,67
august,75
aurora,67
aus,67
austin,75
australia,72
australian,75
austria,71
authentic,78
authentication,75
author,75
authorities,73
authority,78
authorization,73
authorized,75
authors,79
auto,62
automated,72
automatic,72
automatically,77
automation,70
automobile,70
automobiles,73
automotive,70
autos,70
autumn,75
av,75
availability,75
available,72
avatar,75
ave,67
avenue,67
average,71
avg,83
avi,67
aviation,69
avoid,70
avoiding,75
avon,75
aw,75
award,80
awarded,79
awards,83
aware,70
awareness,78
away,75
awesome,71
awful,80
axis,75
aye,67
az,75
azerbaijan,75
b,100
ba,75
babe,75
babes,80
babies,75
baby,88
bachelor,81
back,88
backed,83
background,85
backgrounds,86
backing,86
backup,83
bacon,80
bacteria,75
bacterial,78
bad,83
badge,80
badly,90
bag,83
baghdad,86
bags,88
bahamas,79
bahrain,79
bailey,75
baker,80
baking,83
balance,79
balanced,81
bald,88
bali,75
ball,88
ballet,83
balloon,79
ballot,83
baltimore,78
ban,83
banana,75
band,88
bands,90
bandwidth,89
bang,88
bangkok,86
bangladesh,85
bank,88
banking,86
bankruptcy,90
banks,90
banned,83
banner,83
banners,86
baptist,86
bar,83
barbados,81
barbara,79
barbie,75
barcelona,78
bare,75
barely,83
bargain,79
bargains,81
barn,88
barnes,83
barrel,83
barrier,79
barriers,81
barry,90
bars,88
base,75
baseball,81
based,80
baseline,75
basement,81
basename,75
bases,80
basic,80
basically,83
basics,83
basin,80
basis,80
basket,83
basketball,85
baskets,86
bass,88
bat,83
batch,90
bath,88
bathroom,81
bathrooms,83
baths,90
batman,83
batteries,78
battery,86
battle,83
battlefield,82
bay,83
bb,100
bbc,100
bbs,100
bc,100
bd,100
be,75
beach,80
beaches,79
beads,80
beam,75
bean,75
beans,80
bear,75
bearing,79
bears,80
beast,80
beastality,80
beat,75
beatles,79
beats,80
beautiful,72
beautifully,77
beauty,75
beaver,75
became,75
because,71
become,75
becomes,79
becoming,81
bed,83
bedding,86
bedford,86
bedroom,79
bedrooms,81
beds,88
bee,67
beef,75
been,75
beer,75
before,75
began,80
begin,80
beginner,81
beginners,83
beginning,83
begins,83
begun,80
behalf,83
behavior,75
behavioral,75
behaviour,72
behind,83
beijing,79
being,80
beings,83
belarus,79
belfast,86
belgium,79
belief,75
beliefs,79
believe,71
believed,75
believes,75
belize,75
belkin,83
bell,88
belle,80
belly,90
belong,83
belongs,86
below,80
belt,88
belts,90
ben,83
bench,90
benchmark,89
bend,88
beneath,79
beneficial,75
benefit,79
benefits,81
benjamin,81
bennett,86
bent,88
benz,88
berkeley,81
berlin,83
bermuda,79
bernard,86
berry,90
beside,75
besides,79
best,88
bestsellers,86
bet,83
beta,75
beth,88
better,83
betting,86
betty,90
between,79
beverage,75
beverages,78
beverly,86
