Word,Bouba-Kiki Rank
ae,50
oo,50
eau,50
au,50
ie,50
io,50
oe,50
ieee,50
aaa,50
ee,50
iii,50
eu,50
ii,50
ai,50
e,50
ou,50
o,50
ui,50
i,50
ea,50
a,50
ia,50
ooo,50
aa,50
u,50
queue,60
audio,60
asia,62
maui,62
audi,62
euro,62
ease,62
area,62
ohio,62
ciao,62
viii,62
aqua,62
auto,62
iowa,62
idea,62
arabia,67
easier,67
guinea,67
api,67
ion,67
rio,67
fee,67
vii,67
oil,67
gui,67
toe,67
bee,67
ana,67
soa,67
seo,67
joe,67
era,67
ira,67
isa,67
ati,67
duo,67
doe,67
geo,67
cio,67
oak,67
italia,67
aus,67
mae,67
sao,67
aurora,67
uri,67
dee,67
eat,67
eos,67
leu,67
aim,67
eugene,67
lee,67
lou,67
pee,67
bio,67
ali,67
iso,67
una,67
eco,67
die,67
foo,67
louise,67
mia,67
aud,67
lie,67
ave,67
que,67
ata,67
eye,67
ada,67
oem,67
eve,67
mai,67
abu,67
age,67
tea,67
leo,67
avenue,67
epa,67
tee,67
due,67
you,67
aka,67
ide,67
uni,67
une,67
our,67
qui,67
see,67
are,67
eva,67
use,67
louisiana,67
pie,67
europe,67
avi,67
zoo,67
ian,67
ace,67
one,67
neo,67
tie,67
via,67
league,67
too,67
ear,67
ago,67
out,67
sie,67
tue,67
sue,67
ala,67
ice,67
usa,67
bureau,67
dui,67
eur,67
kai,67
cookie,67
cia,67
air,67
aol,67
ceo,67
hawaii,67
aid,67
ate,67
unique,67
sea,67
yea,67
aug,67
aye,67
aerial,67
dialogue,69
boutique,69
adequate,69
hawaiian,69
adelaide,69
audience,69
european,69
equation,69
italiano,69
ethiopia,69
aquarium,69
aviation,69
evaluate,69
obituaries,70
omega,70
ozone,70
diego,70
maria,70
value,70
saudi,70
suite,70
alien,70
patio,70
opera,70
issue,70
alike,70
marie,70
julie,70
ocean,70
above,70
leave,70
iraqi,70
image,70
aimed,70
again,70
eagle,70
alive,70
media,70
quiet,70
agree,70
venue,70
mouse,70
gauge,70
evaluation,70
papua,70
yahoo,70
dubai,70
mario,70
aruba,70
movie,70
usual,70
diane,70
peace,70
miami,70
autos,70
route,70
quote,70
equal,70
ascii,70
julia,70
house,70
queen,70
korea,70
omaha,70
rouge,70
laura,70
anime,70
alias,70
arena,70
oasis,70
lease,70
union,70
ebook,70
olive,70
guide,70
elite,70
haiti,70
initiative,70
voice,70
quite,70
automotive,70
ideas,70
ideal,70
eddie,70
euros,70
oxide,70
isaac,70
loose,70
samoa,70
aware,70
automation,70
areas,70
maine,70
acute,70
alice,70
onion,70
ratio,70
sauce,70
automobile,70
radio,70
email,70
cause,70
tahoe,70
juice,70
raise,70
casio,70
asian,70
louis,70
audit,70
leone,70
video,70
idaho,70
lucia,70
adobe,70
arise,70
katie,70
jamie,70
noise,70
argue,70
about,70
avoid,70
abuse,70
alone,70
aaron,70
nokia,70
piece,70
amino,70
india,70
ahead,70
indie,70
diana,70
moore,70
outer,70
piano,70
usage,70
annie,70
aside,70
albania,71
airfare,71
revenue,71
edition,71
enemies,71
serious,71
awesome,71
israeli,71
jamaica,71
suicide,71
average,71
boolean,71
antonio,71
measure,71
tunisia,71
italian,71
bolivia,71
initial,71
antigua,71
georgia,71
bouquet,71
caution,71
pioneer,71
tuition,71
queries,71
arizona,71
ukraine,71
inquire,71
curious,71
leisure,71
feature,71
outline,71
disease,71
believe,71
romania,71
courier,71
uruguay,71
obvious,71
episode,71
someone,71
amateur,71
because,71
outside,71
expedia,71
opinion,71
auditor,71
america,71
ontario,71
genuine,71
outdoor,71
failure,71
anaheim,71
require,71
outlook,71
acquire,71
unified,71
liberia,71
ecuador,71
receive,71
reunion,71
antique,71
armenia,71
airline,71
operate,71
estonia,71
auction,71
karaoke,71
examine,71
release,71
namibia,71
niagara,71
invoice,71
prairie,71
nigeria,71
austria,71
cookies,71
indiana,71
aquatic,71
footage,71
earlier,71
outcome,71
routine,71
various,71
execute,71
utilize,71
unusual,71
croatia,71
imagine,71
algeria,71
mileage,71
somalia,71
erotica,71
cuisine,71
realize,71
teenage,71
achieve,71
courage,71
alabama,71
seafood,71
valuation,72
guarantee,72
coalition,72
associate,72
religious,72
affiliate,72
automated,72
aerospace,72
amenities,72
isolation,72
miniature,72
elevation,72
behaviour,72
milwaukee,72
warehouse,72
mauritius,72
eliminate,72
violation,72
venezuela,72
evaluated,72
variation,72
situation,72
emotional,72
radiation,72
nicaragua,72
australia,72
macedonia,72
animation,72
abilities,72
marijuana,72
available,72
catalogue,72
societies,72
editorial,72
economies,72
beautiful,72
lithuania,72
guatemala,72
delicious,72
equations,72
aluminium,72
execution,72
encourage,72
operation,72
inquiries,72
evolution,72
executive,72
favourite,72
initiated,72
indonesia,72
immediate,72
mediawiki,72
automatic,72
deviation,72
varieties,72
education,72
qualities,72
wikipedia,72
enquiries,72
colleague,72
utilities,72
qualified,72
authorization,73
unavailable,73
affiliation,73
evaluations,73
equilibrium,73
cooperation,73
questionnaire,73
qualification,73
imagination,73
orientation,73
negotiation,73
utilization,73
examination,73
association,73
educational,73
elimination,73
liabilities,73
albuquerque,73
operational,73
acquisition,73
authorities,73
cooperative,73
initiatives,73
memorabilia,73
automobiles,73
cool,75
dive,75
canadian,75
goal,75
nano,75
cambodia,75
manitoba,75
anti,75
relate,75
door,75
macromedia,75
coupon,75
retain,75
senior,75
fiji,75
cookbook,75
tu,75
fusion,75
loud,75
juvenile,75
eagles,75
operates,75
kijiji,75
actual,75
afraid,75
joined,75
decorative,75
acoustic,75
appear,75
beaver,75
joan,75
feet,75
reveal,75
tune,75
entire,75
examined,75
vision,75
uses,75
output,75
ties,75
bias,75
bean,75
facilitate,75
ir,75
motion,75
resolution,75
foot,75
java,75
artificial,75
module,75
coordination,75
medicare,75
seasonal,75
heroes,75
priorities,75
indigenous,75
inline,75
couple,75
donation,75
coverage,75
po,75
equality,75
freeware,75
litigation,75
denied,75
ci,75
va,75
lauren,75
positive,75
executives,75
validation,75
slovenia,75
cities,75
kuwait,75
ep,75
housewares,75
reputation,75
graduate,75
qualifications,75
minute,75
overview,75
pierre,75
optional,75
coordinate,75
