Word,Bouba-Kiki Rank
std,100
msg,100
ff,100
mph,100
wc,100
ppm,100
cd,100
pk,100
jd,100
wm,100
why,100
sbjct,100
y,100
k,100
st,100
gpl,100
gmbh,100
rr,100
cm,100
ms,100
mp,100
ld,100
gm,100
ghz,100
hk,100
plc,100
v,100
fy,100
dl,100
fx,100
fl,100
rj,100
tvs,100
ln,100
gym,100
nt,100
sms,100
nfl,100
nl,100
bw,100
mj,100
cb,100
cv,100
vcr,100
mb,100
nw,100
lf,100
vb,100
dm,100
wy,100
j,100
hs,100
dvds,100
sql,100
mr,100
ct,100
rv,100
hb,100
lbs,100
pb,100
jpg,100
spy,100
lcd,100
cw,100
rpm,100
wr,100
www,100
yr,100
cc,100
rg,100
bl,100
str,100
vc,100
gb,100
wx,100
ty,100
bc,100
w,100
tc,100
l,100
br,100
pr,100
hh,100
gmc,100
dvd,100
ntsc,100
lt,100
php,100
pj,100
nv,100
tf,100
rx,100
msn,100
nr,100
sr,100
ls,100
rt,100
cj,100
cbs,100
mtv,100
nhs,100
fd,100
ps,100
tp,100
dj,100
dsl,100
phpbb,100
h,100
bk,100
cp,100
qc,100
gsm,100
mrs,100
pgp,100
jm,100
g,100
ky,100
tm,100
mls,100
gcc,100
nbc,100
wn,100
nsw,100
lb,100
vhs,100
try,100
th,100
z,100
fm,100
dry,100
dc,100
mg,100
hq,100
hdtv,100
js,100
wt,100
ll,100
gps,100
gs,100
dr,100
gmt,100
mysql,100
q,100
mv,100
mpg,100
db,100
ny,100
pn,100
dx,100
jj,100
rp,100
vg,100
jp,100
rss,100
dg,100
rn,100
llp,100
bp,100
pdt,100
tgp,100
tmp,100
bt,100
sq,100
sk,100
ccd,100
bmw,100
rc,100
cst,100
pd,100
http,100
lynn,100
tn,100
rpg,100
xml,100
pdf,100
pst,100
sv,100
ws,100
gbp,100
ph,100
vt,100
ds,100
nz,100
md,100
ppc,100
cf,100
dk,100
nhl,100
gg,100
pp,100
qld,100
tv,100
sn,100
sp,100
rb,100
gst,100
sl,100
wb,100
ss,100
ww,100
pct,100
lg,100
mhz,100
gd,100
sync,100
bb,100
tr,100
nn,100
fs,100
fp,100
nyc,100
cl,100
wp,100
nd,100
rm,100
thy,100
gt,100
pt,100
kb,100
mh,100
rw,100
mn,100
fw,100
rfc,100
sh,100
nm,100
hc,100
psp,100
jc,100
pvc,100
hr,100
fc,100
myth,100
nj,100
nh,100
pc,100
dd,100
ddr,100
css,100
gp,100
cnn,100
crm,100
tb,100
tft,100
jvc,100
bbs,100
lc,100
ssl,100
ht,100
pm,100
rf,100
m,100
bd,100
cr,100
cn,100
phys,100
yn,100
np,100
fly,100
pg,100
gdp,100
km,100
sys,100
vs,100
cms,100
bbc,100
xl,100
jr,100
gtk,100
dp,100
td,100
sg,100
fcc,100
src,100
vpn,100
mt,100
r,100
cfr,100
c,100
cs,100
cvs,100
t,100
sm,100
sf,100
gl,100
xp,100
sd,100
sb,100
ftp,100
sw,100
mm,100
mx,100
xhtml,100
gc,100
n,100
gr,100
bg,100
rl,100
b,100
cdt,100
sky,100
d,100
rhythm,100
rd,100
sc,100
tcp,100
dts,100
dt,100
tx,100
qt,100
dh,100
s,100
kg,100
ts,100
hd,100
ks,100
x,100
hz,100
lm,100
pf,100
blvd,100
smtp,100
msgstr,100
cds,100
bs,100
pmc,100
dns,100
hrs,100
f,100
by,100
cry,100
p,100
nc,100
pcs,100
kw,100
pl,100
hl,100
vp,100
fr,100
qty,100
phd,100
nb,100
rrp,100
fwd,100
ft,100
rh,100
yrs,100
ctrl,100
mf,100
llc,100
df,100
tt,100
rs,100
mlb,100
bm,100
pty,100
pts,100
ml,100
dsc,100
fg,100
ns,100
lp,100
dv,100
wv,100
ch,100
hwy,100
html,100
cz,100
cg,100
mc,100
hp,100
ltd,100
ng,100
mw,100
my,100
sympathy,94
strongly,94
symphony,94
promptly,94
chrysler,94
strictly,94
strengths,94
strength,94
slightly,94
symptoms,94
monthly,93
physics,93
stylish,93
cycling,93
strings,93
scratch,93
mystery,93
shortly,93
knights,93
flights,93
crystal,93
springs,93
scripts,93
stretch,93
systems,93
symbols,93
tracks,92
blacks,92
sticky,92
sydney,92
python,92
nights,92
johnny,92
hardly,92
simply,92
stress,92
strict,92
trends,92
lights,92
myself,92
cyprus,92
granny,92
graphs,92
knight,92
script,92
zshops,92
trembl,92
myrtle,92
skills,92
plenty,92
thinks,92
murphy,92
trying,92
tricks,92
strips,92
flying,92
things,92
stocks,92
skirts,92
months,92
charts,92
switch,92
church,92
throws,92
branch,92
checks,92
slowly,92
stands,92
flight,92
supply,92
strong,92
hybrid,92
thongs,92
plants,92
sprint,92
typing,92
lyrics,92
mostly,92
trusts,92
grants,92
string,92
worlds,92
cycles,92
drinks,92
starts,92
chubby,92
mighty,92
shirts,92
prints,92
wright,92
partly,92
thumbs,92
highly,92
rights,92
struct,92
bright,92
bryant,92
symbol,92
clocks,92
cherry,92
thirty,92
struck,92
hungry,92
slight,92
sports,92
crafts,92
christ,92
comply,92
pretty,92
stamps,92
thrown,92
styles,92
french,92
blocks,92
syntax,92
twenty,92
thanks,92
strand,92
system,92
sticks,92
length,92
charms,92
trucks,92
clicks,92
floppy,92
flickr,92
prompt,92
spring,92
brands,92
gently,92
whilst,92
brings,92
scroll,92
worthy,92
growth,92
stylus,92
shorts,92
chicks,92
transcripts,91
candy,90
ships,90
watch,90
thing,90
crops,90
fully,90
sorts,90
width,90
spent,90
worry,90
floyd,90
thong,90
vsnet,90
tyler,90
whats,90
proxy,90
buddy,90
grand,90
kelly,90
drunk,90
highs,90
derby,90
ranch,90
msgid,90
glenn,90
depth,90
banks,90
child,90
barry,90
witch,90
charm,90
stick,90
trust,90
folks,90
gifts,90
berry,90
third,90
danny,90
walks,90
signs,90
worth,90
puppy,90
match,90
handy,90
kerry,90
ghost,90
pills,90
shows,90
kathy,90
sperm,90
chick,90
grass,90
flows,90
nancy,90
funds,90
twins,90
helps,90
nasty,90
zdnet,90
racks,90
physically,90
theft,90
kenny,90
shaft,90
constantly,90
trans,90
frank,90
swing,90
billy,90
songs,90
watts,90
thick,90
nylon,90
lucky,90
plans,90
batch,90
stuff,90
wells,90
short,90
crazy,90
wrist,90
bucks,90
types,90
cycle,90
rugby,90
rocky,90
bunch,90
kitty,90
discs,90
block,90
chips,90
wrong,90
sight,90
words,90
grill,90
lands,90
apply,90
sharp,90
knows,90
smell,90
jenny,90
locks,90
brand,90
track,90
entry,90
towns,90
forty,90
works,90
disks,90
fight,90
jerry,90
lloyd,90
cents,90
costs,90
chest,90
