Word,Score
f,100
fi,100
fix,100
ff,100
k,100
q,100
ii,100
i,100
ix,100
if,100
x,100
z,100
iii,100
fx,100
xi,100
kick,95
pix,93
fit,93
ski,93
icq,93
six,93
zip,93
kit,93
fifth,92
kits,90
kirk,90
viii,90
ks,90
hi,90
skip,90
sick,90
xp,90
pf,90
ci,90
hz,90
tf,90
pi,90
fp,90
pick,90
si,90
cf,90
qc,90
pk,90
cz,90
hq,90
sq,90
sk,90
fish,90
fc,90
sf,90
ti,90
is,90
it,90
fist,90
fs,90
hk,90
kiss,90
fits,90
tx,90
ic,90
ip,90
ft,90
qt,90
shift,88
fifty,88
stick,88
picks,88
sixth,88
thick,88
chick,88
pci,87
ict,87
its,87
sci,87
ips,87
ftp,87
pic,87
tft,87
fcc,87
phi,87
hit,87
ist,87
sticks,87
psi,87
hip,87
his,87
fri,87
pit,87
chi,87
sic,87
gif,87
chicks,87
tip,87
sit,87
sip,87
isp,87
vii,87
fig,87
quiz,85
gzip,85
scsi,85
prix,85
hist,85
tips,85
this,85
fiji,85
rick,85
chip,85
wifi,85
ship,85
hits,85
risk,85
wiki,85
pics,85
diff,85
gift,85
visit,84
fight,84
ships,84
trick,84
gifts,84
first,84
irish,84
kitty,84
chips,84
skirt,84
diffs,84
twiki,84
civic,84
quick,84
fixes,84
risks,84
cliff,84
pitch,84
critics,83
sticky,83
visits,83
tricks,83
crisis,83
spirit,83
spirits,83
finish,83
skirts,83
specifics,82
mississippi,82
specific,82
kid,80
strips,80
rip,80
physics,80
ir,80
ss,80
ink,80
exist,80
highs,80
tc,80
rf,80
pacific,80
liz,80
hc,80
cfr,80
th,80
rfc,80
fr,80
hiking,80
vic,80
ky,80
picnic,80
skin,80
kijiji,80
pst,80
cp,80
thinks,80
quizzes,80
ticket,80
ht,80
fin,80
rich,80
tri,80
cs,80
sky,80
pp,80
prefix,80
rx,80
trip,80
quit,80
pts,80
swift,80
picking,80
hiv,80
fg,80
sight,80
sheriff,80
kids,80
iv,80
cgi,80
disk,80
philip,80
gi,80
ct,80
ts,80
script,80
tp,80
sp,80
psp,80
zinc,80
sh,80
tickets,80
hp,80
pt,80
ph,80
pct,80
php,80
hs,80
fitting,80
ri,80
tt,80
h,80
silk,80
sir,80
griffin,80
pc,80
pickup,80
ghz,80
think,80
ps,80
inf,80
gis,80
fy,80
chief,80
cc,80
size,80
ch,80
flickr,80
skiing,80
sizes,80
exit,80
st,80
tcp,80
skins,80
shirts,80
christ,80
vi,80
t,80
city,80
tight,80
ppc,80
sc,80
p,80
lift,80
irc,80
shirt,80
click,80
cir,80
fishing,80
sink,80
s,80
citizenship,80
css,80
vip,80
c,80
pizza,80
strict,80
keith,80
exists,80
pig,80
http,80
cst,80
qty,80
nick,80
strip,80
high,80
sri,80
fuzzy,80
stuff,80
clicks,80
pcs,80
kissing,80
flip,80
gtk,80
ricky,80
knit,80
hh,80
kg,80
irs,80
sig,80
pike,80
pink,80
chris,80
disks,80
philips,80
cities,80
trips,80
qui,80
scripts,80
scientific,80
fetish,80
specifies,78
fighting,78
stickers,78
districts,78
visiting,78
shipping,78
statistics,78
finishing,78
